Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
HASEKO CORPORATION,1808.T,1808,Consumer Cyclical,Japan,JPX,665981681664,Nikkei 225,^N225,200,0.08
MAZDA MOTOR CORP,7261.T,7261,Consumer Cyclical,Japan,JPX,676120756224,Nikkei 225,^N225,200,0.08
SUMITOMO PHARMA CO LTD,4506.T,4506,Healthcare,Japan,JPX,669234757632,Nikkei 225,^N225,200,0.08
SOCIONEXT INC,6526.T,6526,Industrials,Japan,JPX,611394650112,Nikkei 225,^N225,200,0.08
SEIKO EPSON CORP,6724.T,6724,Technology,Japan,JPX,626918490112,Nikkei 225,^N225,200,0.08
KEISEI ELECTRIC RAILWAY CO,9009.T,9009,Industrials,Japan,JPX,597051179008,Nikkei 225,^N225,200,0.07
TOTO LTD,5332.T,5332,Industrials,Japan,JPX,644992401408,Nikkei 225,^N225,200,0.08
J FRONT RETAILING CO LTD,3086.T,3086,Consumer Cyclical,Japan,JPX,576995721216,Nikkei 225,^N225,200,0.07
TOKYO TATEMONO CO,8804.T,8804,Real Estate,Japan,JPX,597402845184,Nikkei 225,^N225,200,0.07
CREDIT SAISON CO,8253.T,8253,Financial Services,Japan,JPX,539978825728,Nikkei 225,^N225,200,0.07
AMADA CO LTD,6113.T,6113,Industrials,Japan,JPX,583817953280,Nikkei 225,^N225,200,0.07
ODAKYU ELECTRIC RAILWAY CO,9007.T,9007,Industrials,Japan,JPX,562702516224,Nikkei 225,^N225,200,0.07
SAPPORO HOLDINGS LIMITED,2501.T,2501,Consumer Defensive,Japan,JPX,576972193792,Nikkei 225,^N225,200,0.07
NIKON CORP,7731.T,7731,Consumer Cyclical,Japan,JPX,592892395520,Nikkei 225,^N225,200,0.07
NH FOODS LTD,2282.T,2282,Consumer Defensive,Japan,JPX,552723939328,Nikkei 225,^N225,200,0.07
SHARP CORP,6753.T,6753,Technology,Japan,JPX,556774522880,Nikkei 225,^N225,200,0.07
TAIYO YUDEN CO LTD,6976.T,6976,Technology,Japan,JPX,548950212608,Nikkei 225,^N225,200,0.07
SUMCO CORPORATION,3436.T,3436,Technology,Japan,JPX,551671365632,Nikkei 225,^N225,200,0.07
MITSUBISHI MOTOR CORP,7211.T,7211,Consumer Cyclical,Japan,JPX,504618778624,Nikkei 225,^N225,200,0.06
KURARAY CO,3405.T,3405,Basic Materials,Japan,JPX,515259301888,Nikkei 225,^N225,200,0.06
MARUI GROUP CO LTD,8252.T,8252,Financial Services,Japan,JPX,535570579456,Nikkei 225,^N225,200,0.07
SUMITOMO HEAVY INDUSTRIES,6302.T,6302,Industrials,Japan,JPX,496477700096,Nikkei 225,^N225,200,0.06
TAKASHIMAYA CO,8233.T,8233,Consumer Cyclical,Japan,JPX,490546593792,Nikkei 225,^N225,200,0.06
TOBU RAILWAY CO,9001.T,9001,Industrials,Japan,JPX,485909757952,Nikkei 225,^N225,200,0.06
NISSHIN SEIFUN GROUP INC,2002.T,2002,Consumer Defensive,Japan,JPX,504549376000,Nikkei 225,^N225,200,0.06
JTEKT CORPORATION,6473.T,6473,Consumer Cyclical,Japan,JPX,493236649984,Nikkei 225,^N225,200,0.06
TAIHEIYO CEMENT CORP,5233.T,5233,Basic Materials,Japan,JPX,466974081024,Nikkei 225,^N225,200,0.06
YAMAHA CORP,7951.T,7951,Consumer Cyclical,Japan,JPX,442005782528,Nikkei 225,^N225,200,0.06
NICHIREI CORP,2871.T,2871,Consumer Defensive,Japan,JPX,456628371456,Nikkei 225,^N225,200,0.06
